Model,Accuracy,Precision (Macro),Recall (Macro),F1-Score (Macro),Kappa
Hybrid CNN-ViT (Baseline),0.8196275371416615,0.8324386344811037,0.8196327581563685,0.8207167473727239,0.7745355961917706
ALO + SVM,0.8686963799958151,0.8691603778830579,0.8686931966220669,0.868798511047701,0.8358704745456175
ALO + KNN,0.8688010043942247,0.8692685333076129,0.8687958285985781,0.8688234017476443,0.8360011316257038
ALO + MLP,0.8549905838041432,0.8552166348494266,0.8549862172097678,0.8550535265416442,0.8187381870961734
ALO + RandomForest,0.8635697844737392,0.864127152610231,0.8635667430795942,0.8636808044180272,0.8294621951238869
